Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
methanesulfonate degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Methylosulfonomonas methylovora // Bacillus subtilis // Pseudomonas aeruginosa // Marinosulfonomonas methylotropha // Methylosulfonomonas sp. M2 // Afipia felis // Afipia felis // Afipia felis	methanesulfonate + NADH + dioxygen  ->  formaldehyde + sulfite + NAD+ + H2O	PWY-6044	methanesulfonate degradation
steviol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Spermatophyta	Stevia rebaudiana	<i>ent</i>-kaurenal 19-hydroxylase // <i>ent</i>-kaurenol 19-dehydrogenase // ent-kaurene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-kaurenol + an oxidized [NADPH-hemoprotein reductase] + H2O // ent-kaur-16-en-19-oate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  steviol + an oxidized [NADPH-hemoprotein reductase] + H2O	PWY-7070	steviol biosynthesis
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	Carbohydrate Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine Biosynthesis	Giardiinae	Giardia intestinalis	D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+ // alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // UDP-N-acetyl-alpha-D-glucosamine  <-->  UDP-N-acetyl-alpha-D-galactosamine // UTP + N-acetyl-alpha-D-glucosamine 1-phosphate + H+  ->  UDP-N-acetyl-alpha-D-glucosamine + diphosphate // N-acetyl-D-glucosamine 6-phosphate  <-->  N-acetyl-alpha-D-glucosamine 1-phosphate // D-glucosamine 6-phosphate + acetyl-CoA  ->  N-acetyl-D-glucosamine 6-phosphate + coenzyme A + H+ // D-glucosamine 6-phosphate + H2O  <-->  beta-D-fructofuranose 6-phosphate + ammonium	PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
L-threonine degradation II	Amino Acid Degradation	L-threonine Degradation	Fungi // Metazoa // Bacteria <bacteria> // Archaea	Acetoanaerobium sticklandii // Aves // Escherichia coli // Mammalia // Pseudomonas cruciviae // Pyrococcus furiosus // Pyrococcus horikoshii // Xanthomonas campestris // Arthrobacter sp. // Corynebacterium sp.	glycine + acetyl-CoA  <-->  L-2-amino-3-oxobutanoate + coenzyme A // L-threonine + NAD+  ->  L-2-amino-3-oxobutanoate + NADH + H+	THREONINE-DEG2-PWY	L-threonine degradation II
superpathway of dimethylsulfone degradation	Superpathways // Inorganic Nutrient Metabolism	Sulfur Compound Metabolism // Superpathways	Bacteria <bacteria>	Hyphomicrobium sulfonivorans // Arthrobacter methylotrophus // Pseudarthrobacter sulfonivorans	dimethyl sulfide degradation I // dimethyl sulfoxide degradation // dimethyl sulfone degradation	PWY-6072	superpathway of dimethylsulfone degradation
phytol salvage pathway	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Magnoliopsida	Arabidopsis thaliana	phytyl monophosphate + a nucleoside triphosphate  ->  phytyl diphosphate + a nucleoside diphosphate // phytol + CTP  ->  phytyl monophosphate + CDP + H+	PWY-5107	phytol salvage pathway
D-lactate to cytochrome <i>bo</i> oxidase electron transfer	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Bacteria <bacteria> // Archaea	Escherichia coli	2 a ubiquinol[inner membrane] + dioxygen + 5 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 5 H+[periplasm] // (R)-lactate + a ubiquinone[inner membrane]  ->  pyruvate + a ubiquinol[inner membrane]	PWY0-1565	D-lactate to cytochrome bo oxidase electron transfer
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	Carbohydrate Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine Biosynthesis	Euryarchaeota // Metazoa // Fungi // Bacteria <bacteria>	Bacillus subtilis // Campylobacter jejuni // Homo sapiens // Plesiomonas shigelloides // Pseudomonas aeruginosa // Streptococcus thermophilus // Sus scrofa // Yersinia enterocolitica	UDP-N-acetyl-alpha-D-glucosamine  <-->  UDP-N-acetyl-alpha-D-galactosamine	PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I
L-threonine degradation I	Amino Acid Degradation	L-threonine Degradation	Bacteria <bacteria>	Salmonella enterica // Clostridium tetanomorphum // Escherichia coli // Escherichia coli // Salmonella enterica	(Z)-2-aminobutenoate  ->  2-iminobutanoate // 2-iminobutanoate + H2O  ->  2-oxobutanoate + ammonium // L-threonine  ->  (Z)-2-aminobutenoate + H2O // propanoate + ATP  <-->  propanoyl phosphate + ADP // propanoyl-CoA + phosphate  <-->  propanoyl phosphate + coenzyme A // 2-oxobutanoate + coenzyme A  ->  propanoyl-CoA + formate	PWY-5437	L-threonine degradation I
(<i>R</i>)-cysteate degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Paracoccus pantotrophus NKNCYSA	(2R)-3-sulfolactate  ->  pyruvate + sulfite + H+ // (2R)-3-sulfolactate dehydrogenase (NAD+) // L-cysteate + 2-oxoglutarate  <-->  3-sulfopyruvate + L-glutamate	PWY-6642	(R)-cysteate degradation
brassicicene C biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Ascomycota // Fungi	Alternaria brassicicola	"(2E,6E)-farnesyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranylgeranyl diphosphate + diphosphate // fusicocca-1,10(14)-diene-16-(hydroxymethyl)-3,8beta-diol  ->  brassicicene C // S-adenosyl-L-methionine + fusicocca-1,10(14)-diene-3,8beta,16-triol  ->  fusicocca-1,10(14)-diene-16-(hydroxymethyl)-3,8beta-diol + S-adenosyl-L-homocysteine + H+ // fusicocca-2,10(14)-diene-8beta,16-diol + 2-oxoglutarate + dioxygen  ->  fusicocca-1,10(14)-diene-3,8beta,16-triol + succinate + CO2 // fusicocca-2,10(14)-diene-8&beta;-ol 16-hydroxylase // fusicocca-2,10(14)-diene 8-hydroxylase // geranylgeranyl diphosphate  ->  fusicocca-2,10(14)-diene + diphosphate"	PWY-7517	brassicicene C biosynthesis
superpathway of L-threonine metabolism	Superpathways // Amino Acid Degradation	Superpathways // L-threonine Degradation	Bacteria <bacteria>	Escherichia coli // Salmonella enterica	aminopropanol phosphate biosynthesis I // L-isoleucine biosynthesis I (from threonine) // L-threonine degradation I // L-threonine degradation II // L-threonine degradation III (to methylglyoxal) // L-threonine degradation IV	THREOCAT-PWY	superpathway of L-threonine metabolism
"3,3'-disulfanediyldipropannoate degradation"	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Advenella mimigardefordensis	"3-sulfinopropanoyl-CoA + H2O  ->  propanoyl-CoA + sulfite + H+ // 3-sulfinopropanoate + ATP + coenzyme A  ->  3-sulfinopropanoyl-CoA + ADP + phosphate // 3-sulfanylpropanoate + dioxygen  ->  3-sulfinopropanoate + H+ // 2 3-sulfanylpropanoate + NAD+  <-  3,3'-disulfanediyldipropanoate + NADH + H+"	PWY-7462	"3,3'-disulfanediyldipropannoate degradation"
methyl phomopsenoate biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Fungi	Diaporthe amygdali	"phomopsene  ->  methyl phomopsenoate // geranylgeranyl diphosphate  ->  phomopsene + diphosphate // (2E,6E)-farnesyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranylgeranyl diphosphate + diphosphate // geranyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  (2E,6E)-farnesyl diphosphate + diphosphate"	PWY-7721	methyl phomopsenoate biosynthesis
succinate to plastoquinol oxidase	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Cyanobacteria	Parasynechococcus marenigrum	2 a plastoquinol[thylakoid membrane] + 4 H+ + dioxygen  ->  2 a plastoquinone[thylakoid membrane] + 4 H+[thylakoid lumen] + 2 H2O // succinate + a plastoquinone[thylakoid membrane]  ->  fumarate + a plastoquinol[thylakoid membrane]	PWY1YI0-8	succinate to plastoquinol oxidase
autoinducer AI-2 biosynthesis I	Secondary Metabolite Biosynthesis	Autoinducer Biosynthesis	Bacteria <bacteria>	Escherichia coli // Porphyromonas gingivalis // Salmonella enterica	"S-ribosyl-L-homocysteine  ->  L-homocysteine + autoinducer 2 // S-adenosyl-L-homocysteine + H2O  ->  S-ribosyl-L-homocysteine + adenine // S-adenosyl-L-methionine + a demethylated methyl donor  ->  S-adenosyl-L-homocysteine + a methylated methyl donor + H+ // autoinducer 2  ->  (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one // (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O  ->  (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"	PWY-6153	autoinducer AI-2 biosynthesis I
fusicoccin A biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Fungi	Diaporthe amygdali	"fusicoccin J  ->  fuscicoccin A // fusicoccin P dimethylallyltransferase // fusicocca-1,10(14)-diene-8beta,16-diol  ->  fusicoccin P // 8&beta;-hydroxyfusicocca-1,10(14)-dien-16-al reductase // fusicocca-2,10(14)-diene-8beta,16-diol + 2-oxoglutarate + dioxygen  ->  8beta-hydroxyfusicocca-1,10(14)-diene-16-al + succinate + CO2 + H2O // fusicocca-2,10(14)-diene  ->  fusicocca-2,10(14)-diene-8beta,16-diol // geranylgeranyl diphosphate  ->  fusicocca-2,10(14)-diene + diphosphate // (2E,6E)-farnesyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranylgeranyl diphosphate + diphosphate"	PWY-6659	fusicoccin A biosynthesis
autoinducer CAI-1 biosynthesis	Secondary Metabolite Biosynthesis	Autoinducer Biosynthesis	Vibrio cholerae	Vibrio cholerae O1 // Vibrio cholerae O1	"tridecane-3,4-dione + NADPH + H+  ->  CAI-1 + NADP+ // 3-aminotridec-2-en-4-one + H2O  ->  tridecane-3,4-dione + ammonium // S-adenosyl-L-methionine + decanoyl-CoA  ->  3-aminotridec-2-en-4-one + S-methyl-5'-thioadenosine + CO2 + coenzyme A"	PWY-7621	autoinducer CAI-1 biosynthesis
superpathway of glandular trichomes produced diterpenoids (tobacco)	Superpathways // Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis // Superpathways	Solanaceae	Nicotiana glutinosa // Nicotiana sylvestris // Nicotiana tabacum	labdenediol and sclareol biosynthesis // <i>cis</i>-abienol biosynthesis // cembratrienediol biosynthesis	PWY18C3-14	superpathway of glandular trichomes produced diterpenoids (tobacco)
NADH to cytochrome <i>bo</i> oxidase electron transfer I	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Bacteria <bacteria>	Pseudomonas putida // Escherichia coli	2 a ubiquinol[inner membrane] + dioxygen + 5 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 5 H+[periplasm] // NADH[in] + a ubiquinone[membrane] + 5 H+[in]  <-->  NAD+[in] + a ubiquinol[membrane] + 4 H+[out]	PWY0-1335	NADH to cytochrome bo oxidase electron transfer I
autoinducer AI-1 biosynthesis	Secondary Metabolite Biosynthesis	Autoinducer Biosynthesis	Bacteria <bacteria>	Aeromonas hydrophila // Agrobacterium fabrum // Agrobacterium tumefaciens // Aliivibrio fischeri // Pantoea agglomerans // Pantoea stewartii // Pectobacterium carotovorum // Pseudomonas aeruginosa // Pseudomonas chlororaphis // Rhizobium leguminosarum // Vibrio harveyi // Yersinia enterocolitica	S-adenosyl-L-methionine + an acyl-[acyl-carrier protein]  ->  acyl-carrier protein + S-methyl-5'-thioadenosine + an N-acyl-L-homoserine lactone + H+	PWY-6157	autoinducer AI-1 biosynthesis
"2&alpha;,7&beta;-dihydroxylation of taxusin"	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Pinidae	Taxus cuspidata	"2alpha-hydroxytaxusin + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2alpha, 7beta-dihydroxytaxusin + an oxidized [NADPH-hemoprotein reductase] + H2O // taxoid 7&beta;,2&alpha;-hydroxylase // taxusin + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2alpha-hydroxytaxusin + an oxidized [NADPH-hemoprotein reductase] + H2O // taxusin + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  7beta-hydroxytaxusin + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-7065	"2alpha,7beta-dihydroxylation of taxusin"
autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)	Secondary Metabolite Biosynthesis	Autoinducer Biosynthesis	Vibrionales	Aliivibrio fischeri // Vibrio cholerae // Vibrio harveyi	"autoinducer 2  ->  (2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one // (2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O  ->  (2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran // (2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran + tetrahydroxoborate  ->  (2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran-borate + 2 H2O // S-ribosyl-L-homocysteine  ->  L-homocysteine + autoinducer 2 // S-adenosyl-L-homocysteine + H2O  ->  S-ribosyl-L-homocysteine + adenine // S-adenosyl-L-methionine + a demethylated methyl donor  ->  S-adenosyl-L-homocysteine + a methylated methyl donor + H+"	PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)
polyvinyl alcohol degradation	Alcohol Degradation	Alcohol Degradation	Eukaryota // Bacteria <bacteria>	Brevundimonas vesicularis // Aromatoleum aromaticum // Sphingopyxis sp. 113P3 // Alcaligenes faecalis // Pseudomonas sp. strain VM15C	polyvinyl alcohol(n) + 2n an oxidized c-type cytochrome  ->  oxidized polyvinyl alcohol(n) + 2n a reduced c-type cytochrome + 2n H+ // (oxidized polyvinyl alcohol)n + H2O  ->  (oxidized polyvinyl alcohol)n-1 + acetate	PWY-6464	polyvinyl alcohol degradation
taxadiene biosynthesis (engineered)	Superpathways // Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis // Superpathways	Archaea // Eukaryota // Bacteria <bacteria>	Escherichia coli // Pantoea agglomerans // Taxus brevifolia	"geranylgeranyl diphosphate  ->  taxa-4,11-diene + diphosphate // geranylgeranyl diphosphate biosynthesis // methylerythritol phosphate pathway I // <i>trans, trans</i>-farnesyl diphosphate biosynthesis"	PWY-7392	taxadiene biosynthesis (engineered)
aerobic respiration III (alternative oxidase pathway)	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Euglenozoa // Fungi // Viridiplantae	Nicotiana tabacum // Oryza sativa // Sauromatum venosum // Trypanosoma brucei // Arabidopsis thaliana	NADH[in] + a ubiquinone[membrane] + 5 H+[in]  <-->  NAD+[in] + a ubiquinol[membrane] + 4 H+[out] // succinate[in] + a ubiquinone[membrane]  ->  fumarate[in] + a ubiquinol[membrane] // 2 a ubiquinol[mitochondrial inner membrane] + dioxygen[mitochondrial lumen]  ->  2 a ubiquinone[mitochondrial inner membrane] + 2 H2O[mitochondrial lumen]	PWY-4302	aerobic respiration III (alternative oxidase pathway)
2-deoxy-D-ribose degradation I	Carbohydrate Degradation	2-Deoxy-D-ribose Degradation	Bacteria <bacteria>	Salmonella enterica // Citrobacter freundii // Enterobacter cloacae // Escherichia coli // Klebsiella oxytoca // Lactiplantibacillus plantarum // Raoultella terrigena // Salmonella enterica // Salmonella enterica // Vibrio parahaemolyticus // Yersinia sp. EA015	acetaldehyde + coenzyme A + NAD+  <-->  acetyl-CoA + NADH + H+ // 2-deoxy-D-ribose 5-phosphate  <-->  D-glyceraldehyde 3-phosphate + acetaldehyde // 2-deoxy-D-ribose + ATP  ->  2-deoxy-D-ribose 5-phosphate + ADP + H+	PWY-8060	2-deoxy-D-ribose degradation I
ethylene glycol degradation	Alcohol Degradation	Alcohol Degradation	Fungi // Archaea // Bacteria <bacteria>	Escherichia coli // Saccharomyces cerevisiae // Saccharomyces cerevisiae	ethylene glycol + NAD+  <-->  glycolaldehyde + NADH + H+ // glycolaldehyde + NAD+ + H2O  ->  glycolate + NADH + 2 H+	PWY0-1280	ethylene glycol degradation
taxol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Fungi // Pinidae	Taxus baccata // Taxus brevifolia // Taxus canadensis // Taxus chinensis // Taxus cuspidata // Taxus x media	"phenylalanine CoA ligase // L-phenylalanine  ->  (3R)-beta-phenylalanine // N-debenzoyl-(3'-RS)-2'-deoxytaxol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-debenzoyl-(3'-RS)-taxol + an oxidized [NADPH-hemoprotein reductase] + H2O // taxa-4(20),11-dien-5alpha,13alpha-diol  ->  taxol // 10beta-hydroxytaxa-4(20),11-dien-5alpha-yl acetate  ->  10-deacetyl-2-debenzoylbaccatin III // N-debenzoyl-(3'-RS)-taxol + benzoyl-CoA  ->  taxol + coenzyme A + H+ // baccatin III + (3R)-3-amino-3-phenylpropanoyl-CoA  ->  N-debenzoyl-(3'-RS)-2'-deoxytaxol + coenzyme A // 10-deacetylbaccatin III + acetyl-CoA  ->  baccatin III + coenzyme A // 10-deacetyl-2-debenzoylbaccatin III + benzoyl-CoA  ->  10-deacetylbaccatin III + coenzyme A // 10beta-hydroxytaxa-4(20),11-dien-5alpha-yl acetate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  10beta,14beta-dihydroxytaxa-4(20),11-dien-5alpha-yl acetate + an oxidized [NADPH-hemoprotein reductase] + H2O // geranylgeranyl diphosphate  ->  taxa-4,11-diene + diphosphate // taxa-4,11-diene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  taxa-4(20),11-dien-5alpha-ol + an oxidized [NADPH-hemoprotein reductase] + H2O // taxa-4(20),11-dien-5alpha-ol + acetyl-CoA  <-->  taxa-4(20),11-dien-5-alpha-yl acetate + coenzyme A // taxa-4(20),11-dien-5-alpha-yl acetate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  10beta-hydroxytaxa-4(20),11-dien-5alpha-yl acetate + an oxidized [NADPH-hemoprotein reductase] + H2O // taxa-4(20),11-dien-5alpha-ol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  taxa-4(20),11-dien-5alpha,13alpha-diol + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-5660	taxol biosynthesis
2-deoxy-D-ribose degradation II	Carbohydrate Degradation	2-Deoxy-D-ribose Degradation	Bacteria <bacteria>	Paraburkholderia bryophila // Paraburkholderia phytofirmans // Pseudomonas simiae	"acetoacetate + ATP + coenzyme A  ->  acetoacetyl-CoA + AMP + diphosphate // 2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A // D-glycerate + ATP  ->  2-phospho-D-glycerate + ADP + H+ // 2-deoxy-beta-D-ribopyranose + 2 an oxidized c-type cytochrome  ->  2-deoxy-ribono-1,5-lactone + 2 a reduced c-type cytochrome + 2 H+ // 2-deoxy-ribono-1,5-lactone + H2O  ->  2-deoxy-D-ribonate + H+ // 2-deoxy-D-ribonate + NAD+  ->  2-deoxy-3-dehydro-D-ribonate + NADH + H+ // acetyl-CoA + 2-deoxy-3-dehydro-D-ribonate  ->  acetoacetate + D-glyceroyl-CoA // D-glyceroyl-CoA + H2O  ->  D-glycerate + coenzyme A + H+"	PWY-8058	2-deoxy-D-ribose degradation II
superpathway of glycol metabolism and degradation	Superpathways // Alcohol Degradation	Alcohol Degradation // Superpathways	Bacteria <bacteria>	Escherichia coli // Pseudomonas putida	ethylene glycol degradation // glycolate and glyoxylate degradation II // glycolate and glyoxylate degradation I	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation
carnosate bioynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Lamiaceae	Salvia fruticosa // Salvia officinalis // Salvia pomifera // Salvia rosmarinus	"11-hydroxyferruginol + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  carnosate + 3 an oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+ // ferruginol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  11-hydroxyferruginol + an oxidized [NADPH-hemoprotein reductase] + H2O // geranylgeranyl diphosphate  ->  (+)-copalyl diphosphate // (+)-copalyl diphosphate  ->  miltiradiene + diphosphate // miltiradiene + an oxidized electron carrier  ->  abieta-8,11,13-triene + a reduced two electron carrier // abieta-8,11,13-triene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ferruginol + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-7680	carnosate bioynthesis
glycerol-3-phosphate to hydrogen peroxide electron transport	Generation of Precursor Metabolites and Energy	Electron Transfer Chains	Dikarya // Bacteria <bacteria>	Escherichia coli	hydrogen peroxide[periplasm] + a menaquinol[inner membrane]  ->  a menaquinone[inner membrane] + 2 H2O[periplasm] // sn-glycerol 3-phosphate + a menaquinone[inner membrane]  ->  glycerone phosphate + a menaquinol[inner membrane]	PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport
superpathway of ergosterol biosynthesis I	Superpathways // Fatty Acid and Lipid Biosynthesis	Ergosterol Biosynthesis // Superpathways	Fungi	Saccharomyces cerevisiae	"lanosterol biosynthesis // mevalonate pathway I (eukaryotes and bacteria) // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // ergosterol biosynthesis I // zymosterol biosynthesis // epoxysqualene biosynthesis"	ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
